"id","text","created_at","source","lang","retweeted_status_id","truncated","favorited","retweeted","possibly_sensitive","favorite_count","retweet_count","in_reply_to_status_id","in_reply_to_user_id","in_reply_to_screen_name","latitude","longitude","user_id","user_name","user_screen_name","user_description","user_lang","user_location","user_geo_enabled","user_followers_count","user_friends_count","user_favorites_count","user_statuses_count","user_listed_count","user_created_at","user_time_zone"
"481496757608906752","Amazing fashion! https://t.co/EJHSMsx1hx","2014-06-24 03:59:07.0","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","en","-1","false","false","false","false","0","0","-1","-1","","-1.0","-1.0","1707938526","Геннадий Гогель","LoveHandmade70","Верховая езда : Археология ,  # канд-т,  Ректор","ru","Новосибирск","false","78","69","0","7748","0","2013-08-28 04:36:44.0","Amsterdam"
"481496758103441408","I wanna look back and say that was the best summer of my life 👌","2014-06-24 03:59:07.0","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","en","-1","false","false","false","false","0","0","-1","-1","","-1.0","-1.0","562106275","Logan.","LoganLucas10","Money never sleeps..","en","","false","763","1061","13014","28918","0","2012-04-24 01:18:17.0",""
"481496758392872960","Win a $1000 Summer Shopping Spree from @shopbookworm @Casadotcom @diapersdotcom @look @yoyodotcom via @Red_Tricycle http://t.co/4FiTrhCoIW","2014-06-24 03:59:07.0","<a href=\"https://dev.twitter.com/docs/tfw\" rel=\"nofollow\">Twitter for Websites</a>","en","-1","false","false","false","false","0","0","-1","-1","","-1.0","-1.0","790006724","Markcline","Markcline02","","en","","false","7","78","0","248","0","2012-08-29 05:33:37.0",""
"481496758292582400","RT @EDMdaiIy: Calvin Harris - Summer (Diplo & Grandtheft Remix)  https://t.co/uv0q00VqLk","2014-06-24 03:59:07.0","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","en","480929877139685377","false","false","true","false","0","0","-1","-1","","-1.0","-1.0","2150175870","Danii","kiddo_cassette","#FGCU","en","","false","428","206","11519","12163","3","2013-10-22 13:44:04.0",""
"481496757768306688","Summer food is the best food #100happydays http://t.co/wDYjb0tNXD","2014-06-24 03:59:07.0","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","en","-1","false","false","false","false","0","0","-1","-1","","51.14702816","-0.47608221","115148374","Ellie Devonshire","elliedevonshire","singing/acting/boogying, loves animals and The Walking Dead","en","Guildford/Chichester Uni","true","289","717","1981","8511","1","2010-02-17 03:27:35.0",""
"481496758740992000","It's summer vaca and I'm studying anatomy and physiology because I want to. #nerdout #anatomy #vestigialorgans","2014-06-24 03:59:07.0","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","en","-1","false","false","false","false","0","0","-1","-1","","-1.0","-1.0","1581543408","Josie Carlson","osiecorn","","en","","false","44","62","414","356","0","2013-07-09 08:17:25.0",""
"481496759542116352","\"You know its summer when its 2 o'clock and you havent put a bra on yet\" - @NicoleKristof 😂😂","2014-06-24 03:59:07.0","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","en","-1","false","false","false","false","0","0","-1","-1","","-1.0","-1.0","549433064","Kaitlyn","ayyekatie25","a life lived in love will never be dull","en","","false","274","261","1891","2821","0","2012-04-09 04:18:42.0",""
"481496759253098496","Last straw for Suarez, he'll be off come summer. Boy is an absolute rat","2014-06-24 03:59:07.0","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Mobile Web (M5)</a>","en","-1","false","false","false","false","0","0","-1","-1","","-1.0","-1.0","712496276","Mathers","jonnymathers1","Twenty Seconds of Courage","en","Aberdeen/Edinburgh","true","311","921","5461","9366","0","2012-07-23 00:17:00.0","Amsterdam"
"481496759080722432","Discover the 7 #Summer Treasures of #OC and enter to win some great prizes: http://t.co/L8hd3O6Fnj http://t.co/BUvHWgH7tn","2014-06-24 03:59:07.0","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","en","-1","false","false","false","false","0","0","-1","-1","","-1.0","-1.0","108677729","OC Metrolink","OCMetrolinkNews","Follow this page to learn all about OC events, special promotions, Metrolink expanded service, station improvements and more!","en","Orange, CA","false","1100","359","6","782","55","2010-01-26 02:22:31.0","Alaska"
"481496759848296449","RT @miilkkk: people trying to get their hot summer bodies and I'm just here like http://t.co/uRPsfBrGzD","2014-06-24 03:59:08.0","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","en","481489672833495041","false","false","true","false","0","0","-1","-1","","-1.0","-1.0","102530345","Annie","anaissahhh","You live and you learn. You rise and you fall","en","primero díos ","true","418","820","2759","15045","0","2010-01-06 08:49:51.0","Mountain Time (US & Canada)"
